net,sta,loc,ch,lat,lon,wZ,wN,wE
AF,CER,,BH,-33.3617,19.2933,-1.0,-1.0,-1.0
AF,CVNA,,HH,-31.4821,19.7617,-1.0,-1.0,-1.0
AF,POGA,,BH,-27.346,31.707,-1.0,-1.0,-1.0
AK,COLD,,BH,67.226898,-150.203796,1.0,1.0,1.0
AK,RDOG,,BH,68.0541,-162.908005,0.3,0.3,0.3
AK,S31K,,BH,57.9616,-136.232,0.3,0.3,0.3
AK,UNV,,BH,53.8452,-166.504501,-1.0,0.3,0.3
AU,ARMA,,BH,-30.418301,151.629303,-1.0,-1.0,-1.0
AU,ARPS,00,BH,-36.769901,141.838303,1.0,1.0,1.0
AU,BBOO,00,BH,-32.8102,136.058807,-1.0,-1.0,-1.0
AU,BLDU,00,BH,-30.6147,116.709099,-1.0,-1.0,-1.0
AU,CMSA,00,BH,-31.5375,145.691605,-1.0,-1.0,-1.0
AU,CNB,00,BH,-35.314999,149.363297,-1.0,-1.0,-1.0
AU,COEN,00,BH,-13.9574,143.174896,-1.0,-1.0,-1.0
AU,CTA,,BH,-20.087601,146.25,-1.0,-1.0,-1.0
AU,EIDS,,BH,-25.369101,151.081696,-1.0,-1.0,-1.0
AU,FITZ,,BH,-18.0982,125.640297,0.8,-1.0,-1.0
AU,FORT,00,BH,-30.778999,128.059006,1.0,1.0,1.0
AU,GIRL,00,BH,-22.643,114.234001,1.0,1.0,1.0
AU,KLBR,00,BH,-31.591499,117.754601,1.0,1.0,1.0
AU,KMBL,00,BH,-31.366899,121.882103,1.0,1.0,1.0
AU,KNRA,00,BH,-15.6769,128.762802,1.0,1.0,1.0
AU,LHI,00,BH,-31.52,159.061295,1.0,1.0,1.0
AU,MANU,00,BH,-2.0432,147.366196,-1.0,-1.0,-1.0
AU,MAW,,BH,-67.603996,62.870998,1.0,1.0,1.0
AU,MCQ,00,BH,-54.4986,158.9561,1.0,0.5,0.4
AU,MEEK,,BH,-26.638,118.614998,-1.0,-1.0,-1.0
AU,MGCD,00,BH,-33.2096,151.1092,1.0,1.0,1.0
AU,MILA,00,BH,-37.0547,149.155,1.0,-1.0,-1.0
AU,MOO,00,BH,-42.4417,147.190308,-1.0,-1.0,-1.0
AU,MORW,00,BH,-29.0679,116.040298,-1.0,-1.0,-1.0
AU,MTN,00,BH,-12.8436,131.132706,0.3,0.3,0.3
AU,MTSU,,SH,-18.148199,144.319504,-1.0,-1.0,-1.0
AU,NFK,00,BH,-29.043301,167.938904,0.3,0.3,0.3
AU,NIUE,00,BH,-19.0763,-169.9272,-1.0,-1.0,-1.0
AU,QIS,00,BH,-20.557699,139.605194,-1.0,-1.0,-1.0
AU,QLP,,BH,-26.5837,144.235001,-1.0,-1.0,-1.0
AU,RABL,00,BH,-4.1912,152.163696,1.0,1.0,1.0
AU,RIV,00,BH,-33.829399,151.158295,-1.0,-1.0,-1.0
AU,RKGY,00,BH,-34.609402,116.977303,1.0,-1.0,-1.0
AU,RMQ,,SH,-26.489,148.755005,-1.0,-1.0,-1.0
AU,STKA,,BH,-31.8757,141.596405,0.9,1.0,1.0
AU,TOO,00,BH,-37.5714,145.490601,1.0,1.0,1.0
AU,XMI,,BH,-10.4501,105.6884,0.8,1.0,0.9
AU,YNG,00,BH,-34.298,148.3963,1.0,-1.0,-1.0
C,GO01,,BH,-19.6685,-69.1942,-1.0,-1.0,-1.0
C,GO03,,BH,-27.5937,-70.2347,-1.0,-1.0,-1.0
C,GO05,,BH,-35.0099,-71.9303,-1.0,-1.0,-1.0
C,GO06,,BH,-39.5839,-71.472,-1.0,-1.0,-1.0
C,GO09,,BH,-51.270699,-72.338097,-1.0,-1.0,-1.0
C,GO10,,BH,-53.154598,-71.049797,-1.0,-1.0,-1.0
C1,AP02,,BH,-18.853959,-69.143334,-1.0,-1.0,-1.0
C1,AY05,,BH,-45.150958,-73.511667,1.0,1.0,0.8
C1,VA04,,BH,-33.6427,-78.8299,-1.0,-1.0,-1.0
CN,INK,,BH,68.3065,-133.5254,0.3,0.3,0.3
G,AIS,00,BH,-37.79635,77.569186,-1.0,-1.0,-1.0
G,ATD,00,BH,11.530725,42.846634,0.3,0.3,0.3
